id,cercafabricasindustria,cercaterminalesbuses,cercatalleresmecanica,contaminacionaire
4,f,t,t,f
8,f,f,f,f
229,f,f,f,f
324,t,t,t,t
653,f,f,f,f
654,f,f,f,f
657,f,f,f,f
969,f,f,f,f
1675,f,f,f,f
1676,f,f,f,f
1677,t,t,t,f
1678,f,f,f,f
1679,f,f,f,t
1680,f,f,t,f
1692,f,f,f,f
1695,f,f,f,f
2321,f,t,f,t
2322,f,f,f,f
2323,f,f,f,f
2324,t,t,f,f
2325,f,f,f,f
2326,f,f,f,f
2327,t,t,t,f
2328,f,f,f,f
2970,f,f,f,t
2971,f,f,f,f
2972,f,t,f,t
2973,f,f,f,t
4570,f,f,f,t
4571,f,f,f,f
4572,f,f,f,f
4573,f,f,f,f
4576,f,f,f,f
4577,f,f,f,f
4754,f,f,f,f
4762,f,f,f,f
5808,f,t,f,f
5809,f,f,f,f
5810,f,f,f,f
5811,f,f,f,f
5812,f,f,f,f
5813,f,f,f,f
5814,f,f,f,f
5815,f,f,f,f
5816,f,f,f,f
6434,f,f,f,f
6435,f,f,f,f
6436,t,f,f,t
6437,f,f,f,f
6438,f,f,f,f
6439,f,t,f,f
6440,f,f,t,f
6441,f,f,f,f
6442,f,f,f,f
6449,f,f,f,f
6450,f,f,f,f
6914,f,t,t,f
7664,f,t,f,f
7665,f,f,f,f
7666,f,f,f,f
7667,t,f,f,f
7672,f,f,f,f
8285,f,f,f,t
8482,f,f,f,f
8483,f,f,f,f
8484,f,f,f,f
8485,f,f,f,f
8486,f,f,f,f
8487,f,f,f,t
8490,f,f,f,f
8492,f,f,f,t
8822,f,f,f,f
8823,f,f,t,f
8824,f,f,f,f
8951,f,f,f,f
8952,f,f,f,f
8953,f,f,f,f
8954,f,f,f,f
9114,f,f,f,f
9116,f,f,f,t
9117,f,f,f,f
9145,f,f,t,f
9147,f,f,f,f
5,f,f,f,f
6,f,f,t,f
328,f,f,t,t
329,f,f,f,f
330,f,f,f,f
331,f,f,f,f
816,t,t,t,t
1120,t,f,t,t
1121,t,t,f,f
1122,f,f,f,f
1123,f,f,f,f
1683,f,f,f,f
1684,f,f,f,t
1685,f,f,f,f
2144,t,f,f,f
2145,f,f,f,f
2146,t,f,f,f
2147,f,f,f,t
2148,f,f,f,t
2713,f,f,f,f
2714,f,f,f,f
2715,f,f,f,t
2716,f,f,t,t
2717,f,f,f,f
2718,f,f,t,t
2719,t,f,f,t
2720,f,f,t,f
3896,f,f,t,f
4095,f,f,f,f
4096,f,f,f,t
4097,f,f,f,f
4098,f,f,t,f
4099,f,f,f,f
4574,f,f,f,f
4575,f,f,f,f
4884,f,t,f,f
4885,t,t,f,t
5016,f,f,f,f
5017,f,f,f,f
5018,f,f,t,f
5495,f,f,f,f
5800,f,f,f,f
5801,f,f,f,f
5802,f,f,f,t
5803,f,f,f,f
5804,f,f,f,f
5947,t,f,t,t
5948,f,f,f,f
5949,f,f,f,f
6915,f,f,f,f
6942,f,f,f,f
6943,f,f,t,f
6946,f,f,f,f
6950,f,f,f,f
6951,f,f,f,f
6952,f,f,f,f
6953,t,f,f,f
6954,f,f,f,f
6955,f,f,f,f
6956,f,f,f,f
6957,t,f,t,f
6958,f,f,f,t
6959,f,f,f,f
7717,f,f,f,f
7718,f,f,f,f
7719,f,f,f,f
7720,f,f,f,f
7724,f,f,f,f
7726,f,f,f,f
7728,t,f,t,t
7729,f,f,f,f
7730,f,f,f,f
7731,t,f,t,t
8018,f,f,f,f
8019,f,f,f,f
8020,f,f,f,f
8021,t,f,t,t
8022,t,f,t,t
8023,f,f,f,f
8024,t,f,t,t
8488,t,f,t,t
8678,f,f,f,f
8680,t,f,f,f
8681,t,f,f,f
8682,t,f,f,f
8683,f,f,f,f
8684,f,f,f,f
8688,f,f,f,f
8689,f,f,f,t
8690,f,f,f,f
8691,f,f,f,t
8826,t,f,t,f
8827,f,f,f,f
8828,t,f,t,t
8829,f,f,f,f
9019,f,f,f,f
9020,f,f,f,f
9021,f,f,f,f
9363,f,f,f,f
9403,f,f,f,f
7,f,f,f,f
170,f,f,f,f
171,f,f,f,f
172,f,f,f,t
173,f,f,f,f
174,f,f,f,t
332,f,f,f,f
333,f,f,f,f
334,f,f,f,f
335,f,f,f,t
336,f,f,f,f
337,f,f,f,f
496,f,f,f,f
497,f,f,f,t
498,f,f,f,t
499,f,f,f,f
818,f,f,f,t
819,t,f,f,f
820,f,f,f,f
1007,f,f,f,f
1008,f,f,f,f
1009,f,f,f,f
1010,f,f,f,t
1011,f,f,f,t
1012,f,f,f,t
1013,f,f,f,t
1014,f,f,f,t
1691,f,f,f,f
2150,f,f,f,f
2151,f,f,f,f
2152,f,f,f,t
2153,f,f,f,f
2154,f,f,f,f
2155,f,f,f,f
2156,f,f,f,f
2157,f,f,f,f
