id,humedadtechoparedes,goteras,fallatuberias,inundacion
4,f,f,f,f
8,f,f,f,f
229,f,f,f,f
324,f,f,f,f
653,f,f,f,f
654,f,f,f,f
657,f,f,f,f
969,f,f,f,f
1675,f,f,f,f
1676,f,f,f,f
1677,f,f,f,f
1678,f,f,f,f
1679,f,f,f,f
1680,t,t,t,f
1692,f,f,f,f
1695,f,f,f,f
2321,f,f,f,f
2322,t,t,f,f
2323,f,f,f,f
2324,f,f,f,f
2325,f,f,f,f
2326,f,f,f,f
2327,t,f,f,f
2328,f,f,f,f
2970,f,f,f,f
2971,f,f,f,f
2972,f,f,f,f
2973,t,f,t,f
4570,f,f,f,f
4571,f,f,f,f
4572,f,f,f,f
4573,f,f,f,f
4576,f,f,f,f
4577,f,f,f,f
4754,f,f,f,f
4762,t,f,f,f
5808,f,f,f,f
5809,f,f,f,f
5810,f,f,f,f
5811,f,f,f,f
5812,t,f,f,f
5813,f,f,f,f
5814,f,f,f,f
5815,f,f,f,f
5816,f,f,f,f
6434,f,f,f,f
6435,f,f,f,f
6436,f,f,f,f
6437,f,f,f,f
6438,f,f,f,f
6439,f,f,t,f
6440,t,f,f,f
6441,f,f,f,f
6442,t,t,f,f
6449,f,f,f,f
6450,f,f,f,f
6914,f,f,f,f
7664,f,f,f,f
7665,t,t,f,f
7666,t,f,f,f
7667,f,f,f,f
7672,t,f,f,f
8285,f,f,f,f
8482,f,f,f,f
8483,f,f,f,f
8484,f,f,f,f
8485,f,f,f,f
8486,f,f,f,f
8487,f,t,f,f
8490,f,f,f,f
8492,f,f,f,f
8822,f,f,f,f
8823,f,f,f,f
8824,f,f,f,f
8951,f,f,f,f
8952,f,f,f,f
8953,f,f,f,f
8954,f,f,f,f
9114,f,f,f,f
9116,f,f,f,f
9117,f,f,f,f
9145,f,t,f,f
9147,f,f,f,f
5,f,f,t,f
6,f,f,f,f
328,t,t,f,f
329,t,f,f,f
330,t,t,f,f
331,f,f,f,f
816,t,f,t,f
1120,t,t,f,f
1121,f,f,f,f
1122,f,f,f,f
1123,f,f,f,f
1683,f,t,f,f
1684,f,f,f,t
1685,f,f,f,f
2144,f,f,f,f
2145,f,f,f,f
2146,t,f,f,f
2147,t,t,t,f
2148,t,t,t,f
2713,t,f,f,f
2714,f,f,f,f
2715,f,f,f,f
2716,t,f,t,f
2717,t,f,f,f
2718,f,f,f,f
2719,f,f,f,f
2720,f,f,f,t
3896,f,f,f,f
4095,f,f,f,f
4096,f,f,f,f
4097,f,t,t,t
4098,t,f,t,f
4099,f,f,f,f
4574,f,f,f,f
4575,f,t,f,f
4884,f,f,f,f
4885,f,f,f,f
5016,f,f,f,f
5017,f,f,f,f
5018,t,f,f,t
5495,f,f,f,f
5800,f,f,f,f
5801,f,f,f,f
5802,f,f,f,f
5803,t,f,f,f
5804,f,f,f,f
5947,f,f,f,f
5948,f,f,f,f
5949,f,f,f,f
6915,f,f,f,f
6942,f,f,f,f
6943,f,f,f,f
6946,f,f,f,f
6950,f,f,f,f
6951,f,f,f,f
6952,f,f,f,f
6953,f,f,t,f
6954,f,t,f,f
6955,f,f,f,f
6956,f,f,f,f
6957,f,t,t,f
6958,f,f,f,f
6959,f,f,f,f
7717,f,f,f,f
7718,f,f,f,f
7719,f,f,f,f
7720,f,f,f,f
7724,t,t,f,f
7726,f,f,f,f
7728,f,f,f,f
7729,f,f,f,f
7730,f,f,f,f
7731,t,t,f,f
8018,f,f,f,f
8019,f,f,f,f
8020,f,f,f,f
8021,f,f,f,f
8022,f,f,f,f
8023,f,f,f,f
8024,f,f,f,f
8488,t,t,t,f
8678,t,f,f,f
8680,f,f,,f
8681,f,f,f,f
8682,f,f,f,f
8683,f,f,f,f
8684,f,f,f,f
8688,t,t,f,f
8689,f,f,f,f
8690,f,f,f,f
8691,f,f,f,f
8826,t,t,f,f
8827,t,t,f,f
8828,f,f,f,f
8829,f,t,f,f
9019,f,f,f,f
9020,f,f,f,f
9021,f,f,f,f
9363,f,f,f,f
9403,f,f,f,f
7,t,f,f,f
170,f,t,f,f
171,f,t,f,f
172,t,f,t,f
173,f,f,f,f
174,f,f,t,f
332,,,,
333,f,f,t,f
334,f,f,f,f
335,f,f,f,f
336,t,t,t,f
337,f,f,f,f
496,f,f,f,f
497,f,f,f,f
498,f,f,f,f
499,f,f,f,f
818,t,f,f,f
819,t,f,t,f
820,t,f,f,f
1007,f,f,t,f
1008,f,f,f,f
1009,f,f,f,f
1010,t,f,f,f
1011,f,f,f,f
1012,f,f,f,f
1013,f,f,f,f
1014,f,f,f,f
1691,f,f,f,f
2150,f,f,f,f
2151,f,f,f,f
2152,f,f,f,f
2153,f,f,f,f
2154,f,f,f,f
2155,f,f,f,f
2156,t,f,f,f
2157,f,f,f,f
2158,t,t,t,f
2159,f,f,t,f
2725,f,f,f,f
2974,f,f,f,f
2975,f,f,f,f
2976,f,f,f,f
2977,f,f,f,f
3898,f,f,f,f
3899,f,f,f,f
3900,f,f,f,f
3901,f,f,f,f
4482,t,f,f,f
5019,f,f,f,f
5020,f,t,f,f
5022,f,f,f,f
5023,f,f,f,f
5805,f,f,f,f
5806,f,f,f,f
5950,t,f,f,f
6566,f,f,f,f
6567,f,f,f,f
6568,f,f,f,f
6569,f,f,f,f
6570,f,f,f,f
6571,f,f,f,f
6944,f,f,f,f
6945,f,f,f,f
6947,f,f,f,f
6948,f,f,f,f
6949,f,f,f,f
6961,f,f,f,f
6963,f,f,f,f
6965,t,f,f,f
6966,f,f,f,f
7292,f,f,f,f
7732,t,t,f,f
7733,f,f,f,f
7736,f,f,f,f
7738,f,f,f,f
8017,f,f,f,f
8287,f,f,f,f
8413,f,f,f,f
8676,f,f,t,f
8679,f,f,f,f
8779,f,f,f,f
8832,f,f,f,f
9022,f,f,f,f
9037,f,f,f,f
9038,f,f,f,f
9040,f,f,f,f
9118,f,f,f,f
9364,f,f,f,f
9365,f,f,f,f
9404,t,f,f,f
9541,f,f,f,f
169,t,f,f,t
325,f,t,f,f
326,f,t,f,f
327,f,f,f,f
812,f,t,f,f
1003,f,f,f,f
1004,f,f,f,f
1005,f,f,f,f
1006,f,f,f,f
1066,f,f,f,f
1067,t,f,f,f
1068,f,f,f,f
1069,f,f,f,f
1070,f,f,f,f
1071,t,f,f,f
1072,f,f,f,f
1073,f,f,f,f
1074,f,f,f,f
1665,t,t,f,f
1666,t,f,f,f
1667,t,f,f,f
1668,t,t,f,f
1681,f,f,f,f
1682,f,f,f,f
1686,f,f,f,f
1687,,t,,
1688,t,t,f,f
1689,t,t,f,f
1690,t,f,f,f
2136,f,f,f,f
2137,t,t,f,t
2711,f,f,f,f
2712,t,f,f,f
2721,t,f,f,f
2722,f,f,f,f
2723,t,f,f,f
2724,t,f,f,f
2954,t,f,f,f
2955,f,f,f,f
2956,f,f,f,f
2957,t,f,f,f
2958,t,t,f,t
2959,t,t,f,f
3891,f,f,f,t
3894,t,t,f,f
3895,f,f,f,f
3897,f,f,f,f
4289,f,f,f,f
5005,t,f,f,f
5006,f,f,f,f
5007,t,f,f,t
5008,t,f,f,t
5009,t,f,f,t
5010,f,f,f,f
5011,t,f,f,f
5012,t,f,f,f
5013,f,f,f,f
5014,f,f,f,f
5015,t,f,f,f
5021,f,f,f,f
5795,f,f,f,f
6565,f,f,f,f
6913,f,f,f,f
7721,t,t,f,t
7722,f,f,f,f
7723,f,f,f,f
7725,f,f,f,f
7727,t,t,f,f
7734,t,f,f,f
7735,t,t,t,f
7737,f,f,f,f
